#mass low95 low68 expected up68 up95 observed
400 0.0109635 0.0114896 0.0120627 0.0133728 0.0138547 0.0119483
600 0.0120143 0.0141366 0.0147685 0.0163573 0.0183371 0.0191047
1000 0.0161606 0.0185056 0.0202499 0.0245801 0.0305006 0.0176722
1600 0.0236708 0.0301669 0.0424085 0.0513124 0.062754 0.0582128
2000 0.0367915 0.0451657 0.0611094 0.0841183 0.102586 0.100379
2600 0.0825875 0.101485 0.104225 0.112981 0.11482 0.110101
3000 0.108811 0.110893 0.116527 0.126822 0.136344 0.132192
3600 0.131734 0.13978 0.149153 0.167287 0.198482 0.186089
4000 0.172338 0.178013 0.199603 0.223019 0.24997 0.271132
4600 0.269121 0.296498 0.356446 0.438794 0.67069 0.660662
5000 0.441136 0.517638 0.622351 0.944586 1.03637 1.04671
5600 1.02416 1.05186 1.12358 1.19319 1.33777 1.33816
6000 1.11683 1.15112 1.22141 1.40912 1.75054 2.02437
6600 1.35725 1.5103 2.02025 2.20512 2.2729 2.39148
