#mass low95 low68 expected up68 up95 observed
600 0.0181953 0.0213069 0.0251346 0.029445 0.0338656 0.0178996
1000 0.0254494 0.0303242 0.0363304 0.0423243 0.0497286 0.0343798
1600 0.0446081 0.0495879 0.0584867 0.0701462 0.0819549 0.0714009
2000 0.0611927 0.0684193 0.0810447 0.0941133 0.111007 0.0869998
2600 0.0983882 0.112329 0.130992 0.154643 0.186109 0.130256
3000 0.144663 0.164817 0.192593 0.214221 0.28154 0.19435
3600 0.253273 0.281642 0.319909 0.381836 0.420996 0.342548
4000 0.368323 0.416154 0.468927 0.565171 0.664375 0.48522
4600 0.577566 0.608083 0.669633 0.78988 0.907104 0.744402
5000 0.790761 0.840599 0.92527 1.07698 1.2379 1.00498
5600 1.16789 1.23673 1.36037 1.52119 1.69103 1.46434
6000 1.43687 1.51586 1.66608 1.84588 2.02131 1.74486
6600 1.77753 1.87077 2.05062 2.30719 2.58431 2.16459
