#mass low95 low68 expected up68 up95 observed
600 0.0153781 0.018008 0.0211867 0.0251235 0.0290064 0.0141282
1000 0.0217349 0.0245257 0.0292173 0.0348459 0.0405723 0.0226735
1600 0.0349306 0.039178 0.0465924 0.0558632 0.0644335 0.0655895
2000 0.046328 0.0544858 0.0631465 0.0753297 0.085618 0.0963338
2600 0.0733926 0.0849672 0.101933 0.11841 0.140704 0.13831
3000 0.106887 0.119764 0.143229 0.166347 0.195946 0.186776
3600 0.184442 0.195475 0.236158 0.281543 0.357771 0.304094
4000 0.269531 0.301138 0.337866 0.389114 0.44709 0.401011
4600 0.438415 0.452117 0.492516 0.534933 0.618984 0.596842
5000 0.574059 0.600748 0.639106 0.711662 0.823325 0.782941
5600 0.824663 0.860372 0.957327 1.09733 1.26776 1.22795
6000 1.05152 1.10813 1.20472 1.36104 1.59071 1.57992
6600 1.43364 1.51292 1.62775 1.82058 2.02514 2.13336
